"AnnoA","CorsoTIPO","ClasseNUMERO","ClasseNOME","DiplomaTipo","Sesso","nImm"
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Altro diploma","F",351
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione professionale","F",77
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione tecnica","F",394
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo artistico","F",27
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo classico","F",432
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo delle scienze umane","F",172
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo linguistico","F",248
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo musicale e coreutico","F",6
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo scientifico","F",2739
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Altro diploma","M",1349
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione professionale","M",405
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Diploma di istruzione tecnica","M",4219
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo artistico","M",31
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo classico","M",348
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo delle scienze umane","M",95
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo linguistico","M",119
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo musicale e coreutico","M",12
"2023/2024","Laurea - dm 270/04","L-08","Ingegneria dell'informazione","Liceo scientifico","M",6775
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Altro diploma","F",385
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione professionale","F",101
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione tecnica","F",627
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo artistico","F",42
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo classico","F",587
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo delle scienze umane","F",196
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo linguistico","F",335
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo musicale e coreutico","F",5
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo scientifico","F",3457
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Altro diploma","M",1531
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione professionale","M",625
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Diploma di istruzione tecnica","M",5074
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo artistico","M",34
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo classico","M",502
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo delle scienze umane","M",79
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo linguistico","M",166
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo musicale e coreutico","M",8
"2023/2024","Laurea - dm 270/04","L-09","Ingegneria industriale","Liceo scientifico","M",9122
"2023/2024","Laurea - dm 270/04","L-10","Lettere","Altro diploma","F",269
